Matheus N.|6|2.908|2.707|3.443|2.095|3.180
Mitchell|4.5|2.773|2.242|2.839|3.666|2.787
O'Brien|5|3.131|2.583|2.488|2.488|3.556
Mukiele|5.5|1.148|4.169|3.450|2.962|2.467
Kamara|5|2.994|2.844|3.398|2.579|2.362
Thomas|4|2.203|4.086|2.040|2.958|2.882
Reinildo|4.5|3.364|3.463|2.830|2.475|1.991
Yeremy|5.5|2.370|2.642|2.859|3.378|2.794
Boscagli|4.5|3.203|2.373|3.046|3.015|2.374
Tzolakis|4.5|2.780|3.277|2.946|2.317|2.666
Robertson|4.5|2.561|2.878|2.608|3.178|2.755
Kevin|5.5|2.801|2.810|3.052|2.502|2.731
Lewis-Potter|5.5|2.825|2.706|2.945|2.756|2.656
Solanke|6|0.000|1.468|3.947|4.230|4.184
Hume|4.5|3.546|3.460|2.606|2.313|1.824
Rúben|5.5|2.418|2.744|3.247|2.088|3.125
Doku|7.5|0.000|1.284|4.642|3.423|4.267
Sanchez|4.5|1.417|3.256|2.780|3.425|2.703
Alderete|5|0.604|3.827|3.450|3.051|2.542
Yirenkyi|5|2.318|3.209|2.453|2.745|2.720
Núñez|5|3.200|2.389|2.564|2.654|2.636
Andersen|5|0.000|3.845|3.971|2.638|2.937
van Ewijk|4|1.755|4.288|1.758|2.883|2.689
Bogle|4.5|2.660|2.812|2.209|2.729|2.957
Bassey|4.5|2.395|3.193|3.374|1.943|2.430
Martinez|5|0.738|2.426|3.776|2.777|3.584
David|6|2.075|2.248|3.251|3.191|2.427
Araujo|5.5|2.476|2.814|2.709|2.792|2.360
Yarmoliuk|5|1.850|2.708|2.999|2.775|2.729
Amenda|4|2.027|3.781|1.818|2.704|2.662
L.Miley|5.5|3.315|3.236|2.431|1.763|2.118
Mason-Clark|5.5|2.022|3.388|2.199|2.670|2.489
Elanga|6|2.343|2.260|2.606|2.393|3.081
Schlager|5|2.610|2.289|2.579|2.393|2.775
Stroud|5|2.429|2.753|2.636|2.311|2.504
Amad|6|3.414|2.724|2.168|2.092|2.223
Garner|6|0.000|1.072|3.670|3.621|4.237
Maeda|5.5|2.821|2.271|2.441|2.534|2.516
Awoniyi|5.5|2.406|4.134|2.233|1.942|1.787
Talbi|5.5|2.835|2.710|2.435|2.256|2.180
Kudus|6.5|0.437|1.374|3.159|3.729|3.621
Gudmundsson|4.5|0.954|2.714|2.430|2.920|3.243
Manzambi|6|1.020|2.537|3.256|2.883|2.526
Ajayi|4|2.223|3.011|2.514|1.934|2.478
Lukić|5|2.840|2.154|2.295|2.389|2.411
Slater|4.5|2.586|2.663|2.388|2.135|2.305
Osula|6|2.315|2.137|2.511|2.221|2.868
Okafor|6|2.376|2.467|2.190|2.452|2.524
Grimes|5|2.097|2.806|2.207|2.456|2.383
Davis|4|3.230|1.672|1.989|2.477|2.525
Belloumi|5|2.320|2.574|2.450|2.173|2.351
Ayari|5.5|3.568|2.533|1.945|1.900|1.630
Sadiki|5|2.493|2.547|2.299|2.100|2.054
De Cuyper|4.5|3.988|2.339|2.071|1.753|1.283
Berge|5|2.756|2.152|2.334|1.952|2.123
Georginio|5.5|2.948|2.157|2.197|2.186|1.757
Livramento|5|0.304|0.733|2.536|2.985|4.499
Aaronson|5.5|2.255|2.260|1.991|2.235|2.300
Greaves|4|2.642|1.712|1.859|2.373|2.398
Tchaouna|5.5|1.847|2.737|1.943|2.277|2.171
Jensen|5.5|2.248|2.116|2.370|2.109|2.131
Guéhi|6|2.296|2.106|2.488|1.631|2.349
Bamba|5|2.111|2.019|2.167|1.988|2.443
Smith Rowe|5.5|2.118|2.156|2.396|1.929|2.080
Diop|4|2.617|1.621|1.735|2.321|2.353
Dasilva|4|1.352|3.472|1.314|2.306|2.164
Ouattara|4|2.761|1.553|1.812|2.192|2.259
Hackney|5.5|4.031|2.500|1.281|1.236|1.505
Tomiyasu|4.5|2.036|1.673|2.135|2.473|2.164
Giles|4|1.875|2.711|2.286|1.537|1.960
Fatawu|5.5|2.269|1.891|1.999|2.111|2.067
